Id	IsOpen	Name	LifeTime	OpenID	ResetID	RuleID	ActivenessIndex	EnterMode	EnterSubMod	IsShowStatisticsData	IsShowLethalDamageInfo	IsCanEnterSendOpenPak	StatisticsID	LastBossNpcID	UnlockFunctionID	IsAchievementCopyscene	ClearTeamTarget	OpenNavigation	CopySceneEnterCountId	IsMarryAutoConfirmEnter	DifficultySelect	AFK	OffsetTimeForShow	IsShowBOSSFight	CopySceneBossDropID1	CopySceneBossDropID2	CopySceneBossDropID3	CopySceneBossDataID1	CopySceneBossDataID2	CopySceneBossDataID3	CopySceneBossCount	ShowChallengeDropInfo
INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
MAX_ID=1000;MAX_RECORD=1000;																																client
#																																
1	1	空中	99999999	-1	-1	1	-1	1	-1	-1	0	0	0	-1	-1	1	-1	1	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
3	1	测试副本底层	1830000	-1	3	92	-1	1	-1	-1	0	1	0	-1	-1	1	-1	1	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
4	1	切磋	3630000	-1	-1	205	-1	3	-1	1	0	1	0	-1	-1	1	-1	1	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
5	1	行侠仗义	1230000	-1	-1	102	7	11	-1	1	0	0	0	-1	-1	1	-1	0	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
10	1	斗技场	1230000	-1	-1	94	-1	1	-1	-1	0	1	0	-1	-1	1	-1	1	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
18	1	巅峰擂台	750000	-1	-1	-1	-1	3	-1	1	0	1	-1	-1	-1	1	-1	0	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
22	1	帮会属地	1230000	-1	-1	202	-1	1	-1	-1	0	1	0	-1	-1	1	-1	1	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
62	1	追击流寇	1230000	-1	11	105	2	1	-1	-1	0	1	1004	-1	-1	1	-1	1	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
84	1	边关问战	720000	-1	-1	-1	20	13	-1	-1	0	1	1017	-1	-1	1	-1	0	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
87	1	逐鹿谷	1260000	-1	-1	111	27	3	-1	-1	0	0	0	-1	-1	1	-1	1	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
88	1	和鸣堂	1200000	-1	-1	103	-1	8	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
89	1	帮战休息室	7200000	-1	-1	112	27	3	-1	-1	0	0	0	-1	-1	1	-1	1	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
90	1	桃源乡·捉迷藏	600000	-1	-1	-1	-1	13	-1	-1	0	1	0	-1	-1	1	-1	0	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
91	1	镇邪殿	400000	-1	-1	245	-1	8	-1	1	0	1	0	-1	-1	1	-1	0	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
92	1	帮会争霸赛	1260000	-1	-1	111	27	3	-1	-1	0	0	0	-1	-1	1	-1	1	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
93	1	桃源乡·捉迷藏	1200000	-1	-1	-1	-1	13	-1	-1	0	1	0	-1	-1	1	-1	0	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
100	1	勇闯山寨	1800000	-1	27	206	33	15	-1	1	0	1	0	-1	-1	1	1	1	-1	1	-1	1	0	1	11	11	12	28000	28001	28003	3	-1
101	1	珍珑棋局	1800000	-1	34	210	1	15	-1	1	0	1	0	-1	-1	1	1	1	-1	1	-1	1	0	1	20	19	-1	28035	28033	-1	1	-1
102	1	夜闯缥缈峰	2700000	-1	22	212	21	15	3	1	0	1	0	-1	-1	1	1	1	-1	1	-1	0	0	1	-1	-1	-1	-1	-1	-1	3	217
103	1	雁门关	2700000	-1	22	37	21	15	3	1	0	1	0	-1	-1	1	1	1	-1	1	1	0	0	1	395	435	436	23218	23201	23202	3	70
104	1	雁门关	1440000	2035	66	216	-1	15	1	1	0	1	0	-1	-1	1	-1	1	4	1	-1	0	0	1	-1	-1	-1	-1	-1	-1	3	-1
105	1	参合庄	1440000	2035	66	217	-1	15	1	1	0	1	0	55060	-1	1	-1	1	4	1	-1	0	0	1	-1	-1	-1	-1	-1	-1	3	-1
106	1	三十六倍棋局	900000	106	88	224	56	15	-1	1	0	1	0	-1	-1	1	1	1	-1	1	-1	0	0	1	-1	-1	-1	-1	-1	-1	1	-1
107	1	初探缥缈峰	1800000	-1	22	228	21	15	3	1	0	1	0	-1	-1	1	-1	1	-1	1	1	0	0	1	-1	-1	-1	57211	57208	57209	3	3
