Id	MinLv	MaxLv	MinMember	MinXiuZhenLev1	MinXiuZhenLev2	BonusID	MapShowLineLable	RelationLimit	ClientCountDownSinceLeftTime	IsIgnoreHuiliu	IsCloseAutoCombatTeamRelive	IsShowAddFriend
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
MAX_ID=512;MAX_RECORD=512;												
#												
1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	1
2	25	-1	3	-1	-1	16	0	-1	-1	-1	0	1
34	22	-1	3	-1	-1	14	0	-1	-1	-1	0	1
35	62	-1	3	-1	-1	-1	0	-1	-1	-1	1	1
36	52	-1	3	-1	-1	-1	0	-1	-1	-1	1	1
37	72	-1	3	-1	-1	-1	0	-1	-1	-1	1	1
38	50	-1	-1	-1	-1	-1	0	-1	-1	-1	0	1
39	89	-1	3	-1	-1	-1	0	-1	-1	-1	1	1
40	92	-1	3	-1	-1	-1	0	-1	-1	-1	1	1
41	96	-1	3	-1	-1	-1	0	-1	-1	-1	1	1
42	60	-1	-1	-1	-1	-1	0	-1	-1	-1	0	1
43	52	-1	3	-1	-1	-1	0	-1	-1	-1	1	1
92	1	10	1	-1	-1	-1	0	-1	-1	-1	0	1
93	29	-1	3	2	-1	47	0	-1	-1	1	0	1
94	1	-1	1	-1	-1	-1	0	-1	-1	-1	0	1
102	30	-1	3	-1	-1	-1	0	-1	-1	-1	0	1
103	20	-1	-1	-1	-1	-1	0	-1	-1	-1	0	1
104	30	-1	1	-1	-1	-1	0	-1	-1	-1	0	1
105	30	-1	3	-1	-1	-1	0	-1	-1	-1	0	1
109	30	-1	3	-1	-1	-1	0	-1	-1	-1	0	1
111	40	-1	1	-1	-1	-1	0	-1	-1	-1	0	1
112	30	-1	1	-1	-1	-1	0	-1	-1	-1	0	1
113	50	-1	1	-1	-1	-1	0	-1	-1	-1	0	1
129	1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	1
130	1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	1
199	37	-1	3	-1	-1	54	0	-1	-1	-1	0	1
200	12	-1	1	-1	-1	-1	0	-1	-1	-1	0	1
201	30	-1	1	-1	-1	-1	0	-1	-1	-1	0	1
202	1	-1	1	-1	-1	-1	0	-1	-1	-1	0	1
203	1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	1
204	1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	1
205	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	1
206	37	-1	3	-1	-1	54	0	-1	-1	-1	0	1
207	42	-1	3	-1	-1	-1	0	-1	-1	-1	1	1
208	1	-1	1	-1	-1	-1	0	-1	-1	-1	0	1
209	1	-1	1	-1	-1	-1	0	-1	-1	-1	0	1
210	24	-1	3	-1	-1	55	0	-1	-1	-1	0	1
211	16	-1	-1	-1	-1	-1	0	-1	180	-1	0	1
212	55	-1	3	-1	-1	-1	0	-1	-1	-1	1	1
213	55	-1	6	-1	-1	-1	0	-1	-1	-1	1	1
214	1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	1
215	16	-1	-1	-1	-1	-1	0	-1	180	-1	0	1
216	59	-1	3	-1	-1	-1	0	-1	-1	-1	1	1
217	55	-1	3	-1	-1	-1	0	-1	-1	-1	1	1
218	30	-1	-1	-1	-1	-1	0	-1	-1	-1	0	0
219	55	-1	6	-1	-1	-1	0	-1	-1	-1	1	1
220	55	-1	6	-1	-1	-1	0	-1	-1	-1	1	1
221	55	-1	6	-1	-1	-1	0	-1	-1	-1	1	1
222	50	-1	3	-1	-1	-1	0	-1	-1	-1	0	1
223	82	-1	3	-1	-1	-1	0	-1	-1	-1	1	1
224	40	-1	3	-1	-1	55	0	-1	-1	-1	0	1
225	59	-1	3	-1	-1	-1	0	-1	-1	-1	0	1
226	55	-1	6	-1	-1	-1	0	-1	-1	-1	1	1
227	50	-1	3	-1	-1	-1	0	-1	-1	-1	0	1
228	30	-1	3	-1	-1	-1	0	-1	-1	-1	1	1
229	79	-1	3	-1	-1	-1	0	-1	-1	-1	1	1
230	55	-1	6	-1	-1	-1	0	-1	-1	-1	1	1
231	92	-1	3	-1	-1	-1	0	-1	-1	-1	1	1
232	1	-1	1	-1	-1	-1	0	-1	-1	-1	0	1
233	24	-1	3	-1	-1	-1	0	-1	-1	-1	0	1
234	30	-1	1	-1	-1	-1	0	-1	-1	-1	0	1
235	60	-1	6	-1	-1	-1	0	-1	-1	-1	1	1
236	40	-1	1	-1	-1	-1	0	-1	-1	-1	0	1
237	1	-1	3	-1	-1	-1	0	-1	-1	-1	0	1
238	10	-1	1	-1	-1	-1	0	-1	-1	-1	0	1
239	1	-1	1	-1	-1	-1	0	-1	-1	-1	0	0
240	1	-1	1	-1	-1	-1	0	-1	10	-1	0	0
241	30	-1	2	-1	-1	-1	0	-1	-1	-1	0	1
242	1	-1	1	-1	-1	-1	0	-1	-1	-1	0	0
243	119	-1	3	-1	-1	-1	0	-1	-1	-1	1	1
244	42	-1	3	-1	-1	-1	0	-1	-1	-1	1	1
245	95	-1	3	-1	-1	-1	0	-1	-1	-1	0	1
246	30	-1	6	-1	-1	-1	0	-1	-1	-1	0	0
247	169	-1	3	-1	-1	-1	0	-1	-1	-1	1	1
