Id	Description	Name	Title	NpcType	Level	ForceId	AlertRadius	CorpseTime	DialogID	DialogRadius	DialogStop	AttackFlyDistance	BelongType	CombatNPC	NpcPaoPaoId	NpcPaoPaoShowType	IsCanBeClientSel	IsDisableFaceto	IsCanCatch	BornAnimId	RelibeAnimId	DropResetCountId	ItemDropType	ShowNameBordType	IsDissolution	DissolutionBronTime	DissolutionColor	DissolutionEffectID	ActivenessID	BackHomeResetFaceDir	HitEffctScaleRate	NpcFunctionalMark	CanPlayCameraRock	IsMustShowHp	LODDistance	PetID	IsHideHeadHpBar	FieldEffectId1	FieldEffectId2	NpcPaoPaoTalkID	DmgStatisticIndex	StatisticBossCount	IsBornFaceTo	ShowBelong	IsPrecentHp	Rewardinterface	EnemySelectScale	CatchCutePet
INT	STRING	STRING	STRING	INT	INT	INT	FLOAT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	STRING	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT
MAX_ID=61440;MAX_RECORD=20480;																																											client	client			client	client
#																																																
40	核心物件4选1线索NPC1号	核心物件4选1线索NPC1号		0	20	1	0	3000	-1	2	-1	4	1	0	-1	-1	0	1	0	-1	-1	-1	0	-1	1	0	[000000]	-1	-1	0	1	0	1	-1	0	-1	0	0	0	-1	-1	-1	0	0	-1	0	1	0
41	核心物件4选1线索NPC2号	核心物件4选1线索NPC2号		0	20	1	0	3000	-1	2	-1	4	1	0	-1	-1	0	1	0	-1	-1	-1	0	-1	1	0	[000000]	-1	-1	0	1	0	1	-1	0	-1	0	0	0	-1	-1	-1	0	0	-1	0	1	0
42	核心物件4选1线索NPC3号	核心物件4选1线索NPC3号		0	20	1	0	3000	-1	2	-1	4	1	0	-1	-1	0	1	0	-1	-1	-1	0	-1	1	0	[000000]	-1	-1	0	1	0	1	-1	0	-1	0	0	0	-1	-1	-1	0	0	-1	0	1	0
43	核心物件4选1线索NPC4号	核心物件4选1线索NPC4号		0	20	1	0	3000	-1	2	-1	4	1	0	-1	-1	0	1	0	-1	-1	-1	0	-1	1	0	[000000]	-1	-1	0	1	0	1	-1	0	-1	0	0	0	-1	-1	-1	0	0	-1	0	1	0
44	玉牌线索核心NPC	玉牌线索核心NPC		0	20	1	0	3000	-1	2	-1	4	1	0	-1	-1	0	1	0	-1	-1	-1	0	-1	1	0	[000000]	-1	-1	0	1	0	1	-1	0	-1	0	0	0	-1	-1	-1	0	0	-1	0	1	0
45	短刀线索核心NPC	短刀线索核心NPC		0	20	1	0	3000	-1	2	-1	4	1	0	-1	-1	0	1	0	-1	-1	-1	0	-1	1	0	[000000]	-1	-1	0	1	0	1	-1	0	-1	0	0	0	-1	-1	-1	0	0	-1	0	1	0
46	铁扇线索核心NPC	铁扇线索核心NPC		0	20	1	0	3000	-1	2	-1	4	1	0	-1	-1	0	1	0	-1	-1	-1	0	-1	1	0	[000000]	-1	-1	0	1	0	1	-1	0	-1	0	0	0	-1	-1	-1	0	0	-1	0	1	0
47	金币线索核心NPC	金币线索核心NPC		0	20	1	0	3000	-1	2	-1	4	1	0	-1	-1	0	1	0	-1	-1	-1	0	-1	1	0	[000000]	-1	-1	0	1	0	1	-1	0	-1	0	0	0	-1	-1	-1	0	0	-1	0	1	0
48	玉牌线索最外圈NPC	玉牌线索最外圈NPC		0	20	1	0	3000	-1	2	-1	4	1	0	-1	-1	0	1	0	-1	-1	-1	0	-1	1	0	[000000]	-1	-1	0	1	0	1	-1	0	-1	0	0	0	-1	-1	-1	0	0	-1	0	1	0
49	短刀线索最外圈NPC	短刀线索最外圈NPC		0	20	1	0	3000	-1	2	-1	4	1	0	-1	-1	0	1	0	-1	-1	-1	0	-1	1	0	[000000]	-1	-1	0	1	0	1	-1	0	-1	0	0	0	-1	-1	-1	0	0	-1	0	1	0
50	铁扇线索最外圈NPC	铁扇线索最外圈NPC		0	20	1	0	3000	-1	2	-1	4	1	0	-1	-1	0	1	0	-1	-1	-1	0	-1	1	0	[000000]	-1	-1	0	1	0	1	-1	0	-1	0	0	0	-1	-1	-1	0	0	-1	0	1	0
51	金币线索最外圈NPC	金币线索最外圈NPC		0	20	1	0	3000	-1	2	-1	4	1	0	-1	-1	0	1	0	-1	-1	-1	0	-1	1	0	[000000]	-1	-1	0	1	0	1	-1	0	-1	0	0	0	-1	-1	-1	0	0	-1	0	1	0
