Id	Profession	Level	STR	AGI	VIT	SPI	WLP	HPMax	MPMax	BaseAllAttr	PhysicalAttack	MagicalAttack	PhysicalDefence	MagicalDefence	Hit	Dodge
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
MAX_ID=999999;MAX_RECORD=99999;																
#																
0	0	0	0	2	4	3	2	963	500	0	31	34	15	19	5	4
1	0	1	0	2	4	3	2	1115	500	0	61	64	27	31	6	7
2	0	2	0	2	4	3	2	1317	550	0	91	95	39	43	9	13
3	0	3	1	2	4	4	2	1518	600	0	121	126	52	56	11	19
4	0	4	1	2	5	4	2	1719	650	0	151	156	64	68	14	25
5	0	5	1	2	5	4	2	1920	700	0	182	187	76	80	16	32
6	0	6	1	3	5	5	2	2122	750	0	212	217	88	92	19	38
7	0	7	1	3	5	5	2	2323	800	0	242	248	100	104	21	44
8	0	8	1	3	6	5	2	2524	850	0	272	279	112	117	24	50
9	0	9	1	3	6	6	2	2726	900	0	302	309	124	129	26	56
10	0	10	1	3	6	6	2	2927	950	0	333	340	136	141	29	62
11	0	11	2	4	6	7	3	3128	1000	0	363	370	148	153	31	69
12	0	12	2	4	7	7	3	3330	1050	0	393	401	160	165	34	75
13	0	13	2	4	7	7	3	3531	1100	0	423	432	173	178	36	81
14	0	14	2	4	7	8	3	3732	1150	0	453	462	185	190	39	87
15	0	15	2	5	7	8	3	4063	1200	0	483	493	197	202	41	93
16	0	16	2	5	8	9	3	4395	1250	0	514	523	197	202	44	99
17	0	17	2	5	8	9	3	4726	1300	0	544	554	197	202	46	106
18	0	18	2	5	8	9	3	5057	1350	0	574	585	197	203	49	112
19	0	19	3	5	8	10	3	5389	1400	0	604	615	197	203	51	118
20	0	20	3	6	9	10	3	5725	1450	0	624	636	205	211	54	124
21	0	21	3	6	9	11	3	5725	1500	0	625	636	197	203	54	124
22	0	22	3	6	9	11	3	5725	1550	0	625	637	197	203	55	124
23	0	23	3	6	9	11	3	5725	1600	0	625	638	198	204	55	125
24	0	24	3	6	10	12	3	5725	1650	0	625	638	198	204	56	125
25	0	25	3	7	10	12	3	5725	1700	0	625	639	198	204	56	125
26	0	26	3	7	10	13	3	5725	1750	0	625	639	198	204	57	125
27	0	27	3	7	11	13	4	5725	1800	0	626	640	198	204	57	125
28	0	28	4	7	11	13	4	5725	1850	0	626	641	198	205	58	125
29	0	29	4	8	11	14	4	5725	1900	0	626	641	198	205	58	126
30	0	30	4	8	11	14	4	5725	1950	0	626	642	198	205	59	126
31	0	31	4	8	12	15	4	5725	2000	0	626	642	198	205	59	126
32	0	32	4	8	12	15	4	5725	2050	0	626	643	198	205	60	126
33	0	33	4	8	12	15	4	5725	2100	0	627	644	199	206	60	126
34	0	34	4	9	12	16	4	5725	2150	0	627	644	199	206	61	126
35	0	35	4	9	13	16	4	5725	2200	0	627	645	199	206	61	127
36	0	36	5	9	13	17	4	5725	2250	0	627	645	199	206	62	127
37	0	37	5	9	13	17	4	5725	2300	0	627	646	199	206	62	127
38	0	38	5	9	13	17	4	5725	2350	0	628	647	199	207	63	127
39	0	39	5	10	14	18	4	5725	2400	0	628	647	199	207	63	127
40	0	40	5	10	14	18	4	5725	2650	0	628	648	199	207	64	127
41	0	41	5	10	14	19	4	5725	2900	0	628	648	199	207	64	128
42	0	42	5	10	14	19	4	5725	3150	0	628	649	199	207	65	128
43	0	43	5	11	15	19	5	5725	3400	0	628	650	200	208	65	128
44	0	44	5	11	15	20	5	5725	3650	0	629	650	200	208	66	128
45	0	45	6	11	15	20	5	5725	3900	0	629	651	200	208	66	128
46	0	46	6	11	15	20	5	5725	4150	0	629	651	200	208	67	128
47	0	47	6	11	16	21	5	5725	4400	0	629	652	200	208	67	129
48	0	48	6	12	16	21	5	5725	4650	0	629	653	200	209	68	129
49	0	49	6	12	16	22	5	5725	4900	0	630	653	200	209	68	129
50	0	50	8	14	19	24	7	5750	5150	0	630	654	273	282	123	147
51	0	51	10	16	21	26	9	5775	5400	0	630	654	346	355	178	165
52	0	52	12	18	23	29	11	5800	5650	0	630	655	419	428	232	183
53	0	53	15	21	25	31	13	5825	5900	0	630	656	493	502	287	202
54	0	54	17	23	28	34	15	5850	6150	0	630	656	566	575	341	220
55	0	55	19	25	30	36	17	5875	6400	0	631	657	639	648	396	238
56	0	56	21	27	32	38	19	5900	6650	0	631	657	712	721	450	256
57	0	57	23	30	34	41	21	5925	6900	0	631	658	785	794	505	274
58	0	58	25	32	37	43	23	5950	7150	0	631	659	858	868	559	292
59	0	59	27	34	39	46	26	5975	7400	0	631	659	931	941	614	311
60	0	60	33	40	45	52	32	6000	7750	0	707	735	1281	1291	706	331
61	0	61	36	43	48	54	35	6025	8100	0	782	810	1624	1634	793	349
62	0	62	39	47	52	58	38	6050	8450	0	857	886	1967	1977	879	367
63	0	63	41	51	55	60	41	6075	8800	0	932	962	2311	2321	966	385
64	0	64	44	55	58	64	44	6100	9150	0	1007	1037	2654	2664	1052	403
65	0	65	46	59	61	66	47	6125	9500	0	1082	1113	2997	3007	1139	422
66	0	66	49	63	65	69	51	6150	9850	0	1158	1188	3340	3350	1225	440
67	0	67	52	68	68	73	55	6175	10200	0	1233	1264	3683	3693	1312	458
68	0	68	55	72	71	76	59	6200	10550	0	1308	1340	4026	4037	1398	476
69	0	69	58	76	74	80	63	6225	10900	0	1383	1415	4369	4380	1485	495
70	0	70	66	83	82	87	71	6250	11250	0	1408	1441	4599	4610	1546	515
71	0	71	69	87	85	90	75	6275	11600	0	1434	1466	4822	4833	1602	534
72	0	72	72	90	88	94	79	6300	11950	0	1459	1492	5045	5056	1657	552
73	0	73	75	93	91	97	83	6325	12300	0	1484	1518	5269	5280	1713	570
