Id	Name	DataId0	DataId1	AttackType	XinShouMisId	DefaultSceneClassId	LockSkillTargetDistance	Race	CancelSelectTargetDistance	SwitchTargetDistanceA	SwitchTargetDistanceB	SwitchTargetAngle	XiuZhenIncreaseSceneId	XiuZhenIncreaseScenePosX	XiuZhenIncreaseScenePosY	XiuZhenIncreaseScenePosZ	FlyingValue	EntryBeforeFlyingValue	CharAttr1	CharAttr2	CharAttr3	CharAttr4	CharAttr5	JumpMinCameraScale	JumpCameraScale	JumpFirstId0	JumpFirstId1	JumpSecondId0	JumpSecondId1	JumpThirdId0	JumpThirdId1	JumpFourId0	JumpFourId1	JumpSecondGroundId0	JumpSecondGroundId1	JumpThirdGroundId0	JumpThirdGroundId1	JumpFourGroundId0	JumpFourGroundId1	JumpSecondWaterId0	JumpSecondWaterId1	JumpThirdWaterId0	JumpThirdWaterId1	JumpFourWaterId0	JumpFourWaterId1	RedressLimit	LoadingJumpUp0	LoadingJumpUp1	LoadingJumpDown0	LoadingJumpDown1	JumpFairy0	JumpFairy1	JumpFairyOne0	JumpFairyOne1	JumpDropNormal	JumpDropWater	JumpSprintID	JumpBig	FirstGemstone	Mis5835GemReward
INT	STRING	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
MAX_ID=32;MAX_RECORD=32;																																																												client
#																																																												
0	无职业	105	106	0	1	5	15	2	100	15	5	360	238	265.65	439.38	51.42	1200	599	1	-1	-1	-1	-1	-1	-1	1	1	2	2	5	5	5	5	4	4	-1	-1	-1	-1	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	11	13	13	2100	2101	115	105	-1	5270
1	无尘	1	2	0	1	9	15	2	100	15	5	360	238	265.65	439.38	51.42	1200	599	0	-1	-1	-1	-1	-1	-1	100	100	101	101	104	104	112	112	103	103	-1	-1	103	103	102	102	-1	-1	102	102	99	2201	2301	3601	3701	110	110	114	114	2100	2101	115	105	-1	5330
2	峨眉	3	4	1	1	9	16	1	100	15	5	360	236	153.37	442.47	88.98	1200	599	4	2	-1	-1	-1	-1	-1	200	200	201	201	204	204	212	212	203	203	-1	-1	203	203	202	202	-1	-1	202	202	1	2401	2501	3801	3901	210	210	214	214	2200	2201	215	205	-1	5630
3	逍遥	5	6	1	1	9	15	1	100	15	5	360	236	153.37	442.47	88.98	1200	599	1	3	-1	-1	-1	-1	-1	300	300	301	301	304	304	312	312	303	303	-1	-1	303	303	302	302	-1	-1	302	302	1	2601	2701	4001	4101	310	310	314	314	2300	2301	315	305	-1	5300
4	武当	7	8	1	1	9	15	0	100	15	5	360	237	334.23	438.64	134.66	1200	599	0	2	-1	-1	-1	-1	-1	400	400	401	401	404	404	412	412	403	403	-1	-1	403	403	402	402	-1	-1	402	402	1	2801	2901	4201	4301	410	410	414	414	2400	2401	415	405	-1	5330
5	丐帮	9	10	0	1	9	15	0	100	15	5	360	237	334.23	438.64	134.66	1200	599	3	1	-1	-1	-1	-1	-1	500	500	501	501	504	504	512	512	503	503	-1	-1	503	503	502	502	-1	-1	502	502	99	3001	3101	4401	4501	510	510	514	514	2500	2501	515	505	-1	5360
6	天山	11	12	0	1	9	15	2	100	15	5	360	238	265.65	439.38	51.42	1200	599	2	-1	-1	-1	-1	-1	-1	600	600	601	601	604	604	612	612	603	603	-1	-1	603	603	602	602	-1	-1	602	602	99	3201	3301	4601	4701	610	610	614	614	2600	2601	615	605	-1	5270
7	明教	13	14	0	1	9	15	0	100	15	5	360	237	334.23	438.64	134.66	1200	599	1	-1	-1	-1	-1	-1	-1	700	700	701	701	704	704	712	712	703	703	-1	-1	703	703	702	702	-1	-1	702	702	99	3401	3501	4801	4901	710	710	714	714	2700	2701	715	705	-1	5300
8	星宿	17	18	1	1	9	15	0	100	15	5	360	237	334.23	438.64	134.66	1200	599	3	-1	-1	-1	-1	-1	-1	800	800	801	801	804	804	812	812	803	803	-1	-1	803	803	802	802	-1	-1	802	802	99	3401	3501	4801	4901	810	810	814	814	2800	2801	815	805	-1	5360
9	大理	15	16	0	1	9	15	0	100	15	5	360	237	334.23	438.64	134.66	1200	599	0	1	2	3	4	-1	-1	900	900	901	901	904	904	912	912	903	903	-1	-1	903	903	902	902	-1	-1	902	902	99	3401	3501	4801	4901	910	910	914	914	2900	2901	915	905	-1	5630
10	玄机	19	20	1	1	9	15	0	100	15	5	360	237	334.23	438.64	134.66	1200	599	4	-1	-1	-1	-1	-1	-1	1000	1000	1001	1001	1004	1004	1012	1012	1003	1003	-1	-1	1003	1003	1002	1002	-1	-1	1002	1002	99	3401	3501	4801	4901	910	910	914	914	2950	2951	1015	1005	-1	5630
11	白驼山	21	22	1	1	9	15	0	100	15	5	360	237	334.23	438.64	134.66	1200	599	2	3	-1	-1	-1	-1	-1	1100	1100	1101	1101	1104	1104	1112	1112	1103	1103	-1	-1	1103	1103	1102	1102	-1	-1	1102	1102	99	3401	3501	4801	4901	910	910	914	914	2960	2961	1115	1105	-1	5270
