Id	DESC	Relation_0	Relation_1	Relation_2	Relation_3	Relation_4	Relation_5	Relation_6	Relation_7	Relation_8	Relation_9	Relation_10	Relation_11	Relation_12	Relation_13	Relation_14	Relation_15	Relation_16	Relation_17	Relation_18	Relation_19	Relation_20	Relation_21	Relation_22	Relation_23	Relation_24	Relation_25	Relation_26	Relation_27	Relation_28	Relation_29	Relation_30	Relation_31	Relation_32	Relation_33	Relation_34	Relation_35
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
MAX_ID=50;MAX_RECORD=50;																																					
#																																					
0	玩家	0	0	2	2	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	2	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0
1	友好NPC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	中立NPC	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
3	敌对NPC	2	0	0	0	0	2	2	2	0	0	0	0	0	2	2	2	2	2	2	0	2	2	0	0	0	0	0	0	0	0	0	2	2	2	0	0
4	伙伴	0	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
5	PvP1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
6	PvP2	0	0	0	2	0	2	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
7	玩家召唤的助战NPC	0	0	2	2	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0
8	EVE1 NPC跟NPC之间互相敌对	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	EVE2 NPC跟NPC之间互相敌对	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
