Id	Description	CharModelID	Width	IsImportantNpc	IsLoadLowNpc
INT	STRING	INT	INT	INT	INT
MAX_ID=61440;MAX_RECORD=22400;				client	client
#					
1	主角：无尘（男）	1	0	1	-1
2	主角：无尘（女）	2	0	1	-1
3	主角：峨眉（男）	3	0	1	-1
4	主角：峨眉（女）	4	0	1	-1
5	主角：逍遥（男）	5	0	1	-1
6	主角：逍遥（女）	6	0	1	-1
7	主角：武当（男）	7	0	1	-1
8	主角：武当（女）	8	0	1	-1
9	主角：丐帮（男）	9	0	1	-1
10	主角：丐帮（女）	10	0	1	-1
11	主角：天山（男）	11	0	1	-1
12	主角：天山（女）	12	0	1	-1
13	主角：明教（男）	13	0	1	-1
14	主角：明教（女）	14	0	1	-1
15	主角：天龙（男）	15	0	1	-1
16	主角：天龙（女）	16	0	1	-1
17	主角：星宿（男）	17	0	1	-1
18	主角：星宿（女）	18	0	1	-1
19	主角：玄机（男）	19	0	1	-1
20	主角：玄机（女）	20	0	1	-1
21	主角：白驼山（男）	21	0	1	-1
22	主角：白驼山（女）	22	0	1	-1
24	首登场景	8	0	1	-1
25	主角：法师男	1	0	1	-1
26	主角：法师女	5	0	1	-1
27	主角：羽芒男	3	0	1	-1
28	主角：羽芒女	7	0	1	-1
29	首登场景(坐男)	15	0	1	-1
30	首登场景(坐女)	14	0	1	-1
31	首登场景(反战青云男)	18	0	1	-1
32	首登场景(反战青云女)	19	0	1	-1
33	首登场景(中立男)	20	0	1	-1
37	录视频	8	0	1	-1
39	测试伙伴	165	0	1	1
40	核心物件4选1线索NPC1号	27100	0	1	1
41	核心物件4选1线索NPC2号	27101	0	1	1
42	核心物件4选1线索NPC3号	27102	0	1	1
43	核心物件4选1线索NPC4号	27103	0	1	-1
44	玉牌线索核心NPC	27104	0	1	1
45	短刀线索核心NPC	27105	0	1	1
46	铁扇线索核心NPC	27106	0	1	1
47	金币线索核心NPC	27107	0	1	-1
48	玉牌线索最外圈NPC	27108	0	1	1
49	短刀线索最外圈NPC	27109	0	1	1
50	铁扇线索最外圈NPC	27110	0	1	1
51	金币线索最外圈NPC	27111	0	1	-1
52	多人舞龙显示空NPC	161	0	1	-1
101	主角：逍遥（男）	5	0	1	-1
102	主角：峨眉（女）	4	0	1	-1
103	主角：丐帮（男）	9	0	1	-1
104	主角：武当（女）	8	0	1	-1
105	主角：无职业（男）	51	0	1	-1
106	主角：无职业（女）	52	0	1	-1
107	主角：逍遥（男-拜师入职敌人模型	405	0	1	-1
108	主角：丐帮（男-拜师入职敌人模型	406	0	1	-1
150	无尘-袈裟伏魔功-千珏圈	-1	0	1	-1
151	袈裟伏魔功进阶-袈裟伏魔功-千珏圈	-1	0	1	-1
91	五福锦鲤入口NPC	14097	0	1	1
181	【固定ID】星宿-神木王鼎	402	0	1	1
182	【固定ID】星宿-神木王鼎-毒蜂	403	0	1	1
183	【固定ID】星宿-神木王鼎-毒蝎	404	0	1	1
184	【固定ID】背饰技能-闪电	410	0	1	1
185	【固定ID】玄机-武侯神弩-鸠	411	0	1	1
186	【固定ID】玄机-武侯神弩-暗	414	0	1	1
187	【固定ID】玄机-武侯神弩-变身-鸠	411	0	1	1
188	【固定ID】玄机-武侯神弩-变身-暗	414	0	1	1
189	【固定ID】玄机-武侯神弩-心法-鸠	411	0	1	1
190	【固定ID】玄机-武侯神弩-心法-暗	414	0	1	1
191	【固定ID】玄机-武侯神弩-心法-变身-鸠	411	0	1	1
192	【固定ID】玄机-武侯神弩-心法-变身-暗	414	0	1	1
193	【固定ID】白驼山-灵蛇	399	0	1	1
194	【固定ID】白驼山-灵蛇	399	0	1	1
195	【固定ID】词缀寄生蝎	28034	0	1	-1
196	【固定ID】词缀毒沼池	-1	0	1	-1
200	孙秀才	242	0	1	1
201	快手赵	10121	0	1	1
202	肖大	268	0	1	1
203	张老兵	207	0	1	1
204	张云	125	0	1	1
205	无量山飞行路线怪物	230	0	1	1
206	无量山飞行路线怪物——空中	401	0	1	1
207	入场树叶	407	0	1	1
208	隐藏任务—试炼靶子	401	0	1	1
209	隐藏任务—小孩	10134	0	1	1
300	逍遥-诛仙阵陷阱	1	0	1	-1
301	逍遥-八阵图陷阱	1	0	1	-1
302	逍遥-定海神针陷阱	1	0	1	-1
400	蚀骨青岚	-1	0	1	-1
401	千幻迷心瘴	-1	0	1	-1
402	腐髓毒龙息	-1	0	1	-1
403	寒髓冰雾	-1	0	1	-1
404	血煞焚风	-1	0	1	-1
405	枯荣生死障	-1	0	1	-1
406	七情销魂烟	-1	0	1	-1
407	丐帮-酒桶	31394	0	1	-1
501	冰系技能圆柱冰块	-1	0	1	-1
502	冰系技能矩形冰块	-1	0	1	-1
503	冰系技能	-1	0	1	-1
504	冰系技能	-1	0	1	-1
505	冰系技能	-1	0	1	-1
801	火系烧地面	-1	0	1	-1
802	火系技能-红莲业火-地面燃烧	-1	0	1	-1
804	时乘六龙大师心法-时乘六龙-地面1段	-1	0	1	-1
805	时乘六龙大师心法-时乘六龙-地面2段	-1	0	1	-1
806	火系技能-火焰刀-地面燃烧	-1	0	1	-1
807	逍遥-凤求凰-地面燃烧	-1	0	1	-1
808	剧情-霍洞主-击倒地面效果	-1	0	1	-1
809	乌龙摆尾-地面持续	-1	0	1	-1
810	乌龙摆尾-地面持续-5重	-1	0	1	-1
811	乌龙摆尾-地面持续-9重	-1	0	1	-1
812	乌龙摆尾-地面持续-至宝	-1	0	1	-1
813	长河落日-伤害	-1	0	1	-1
814	长河落日-伤害-5重	-1	0	1	-1
815	长河落日-伤害-9重	-1	0	1	-1
816	长河落日-伤害-至宝	-1	0	1	-1
817	剑气切-伤害	-1	0	1	-1
818	剑气切-伤害-5重	-1	0	1	-1
819	剑气切-伤害-9重	-1	0	1	-1
820	剑气切-伤害-至宝	-1	0	1	-1
821	枪魂轰-伤害	-1	0	1	-1
822	枪魂轰-伤害-5重	-1	0	1	-1
823	枪魂轰-伤害-9重	-1	0	1	-1
824	枪魂轰-伤害-至宝	-1	0	1	-1
825	连袖劲-伤害	-1	0	1	-1
826	连袖劲-伤害-5重	-1	0	1	-1
827	连袖劲-伤害-9重	-1	0	1	-1
828	连袖劲-伤害-至宝	-1	0	1	-1
829	连阿三_胆小如鼠-伤害	-1	0	1	-1
830	李秋水-绝情环（暂替资源）-冰块	-1	0	1	-1
831	英招_火雨	-1	0	1	-1
832	猴王	161	0	1	-1
1001	场景交互物-鱼	4900	0	1	1
1002	场景交互物-鹅	4901	0	1	1
1003	场景交互物-鸽子	4902	0	1	1
1004	场景交互物-燕子	4903	0	1	1
1005	场景交互物-鸽子群	4904	0	1	1
1006	场景交互物-喂鸽子的鱼女-洛阳	4905	0	1	-1
1007	场景交互物-喂鸽子的鱼女-大理	4905	0	1	-1
1008	场景交互物-火堆	4907	0	1	1
1009	场景交互物-中原青年农夫	4908	0	1	1
1010	场景交互物-中原青年农妇	4909	0	1	1
1011	场景交互物-中原老妇人	4910	0	1	1
1012	场景交互物-中原少年	4911	0	1	1
1021	巡游NPC-洛阳-郝幸符	4850	0	1	-1
1022	婚礼副本进入NPC-洛阳-郝幸符	4851	0	1	-1
1023	婚礼轿子-初级	4852	0	1	1
1024	婚礼轿子-中级	4853	0	1	1
1025	婚礼轿子-高级	4860	0	1	1
1026	婚礼马-初级	4855	0	1	1
1027	婚礼马-中级	4856	0	1	1
1028	婚礼马-高级	4857	0	1	1
1029	婚礼仪仗队-2人举牌	4858	0	1	1
1030	婚礼仪仗队-2人敲锣	4859	0	1	1
1031	婚礼轿子+喜娘-高级	4860	0	1	1
1032	婚礼现场应景NPC-举牌01	4861	0	1	1
1033	婚礼现场应景NPC-举牌02	4862	0	1	1
1034	婚礼现场应景NPC-举牌03	4863	0	1	1
1035	婚礼现场应景NPC-举牌04	4864	0	1	1
1036	婚礼现场应景NPC-举牌05	4865	0	1	1
1037	婚礼现场应景NPC-举牌06	4866	0	1	1
1038	婚礼现场应景NPC-媒婆	4867	0	1	1
1039	婚礼现场应景NPC-月老	4868	0	1	1
1040	婚礼现场应景NPC-店小二	4869	0	1	1
1041	婚礼现场应景NPC-喜娘01	4870	0	1	1
1042	婚礼现场应景NPC-喜娘02	4871	0	1	1
1043	婚礼现场应景NPC-鼓	4872	0	1	1
1044	婚礼现场应景NPC-锣	4873	0	1	1
