Id	PosX	PosY	PosZ	ParamADescribe	ParamA	ParamBDescribe	ParamB	ParamCDescribe	ParamC	ParamDDescribe	ParamD	ParamEDescribe	ParamE	ClusterId
INT	FLOAT	FLOAT	FLOAT	STRING	FLOAT	STRING	FLOAT	STRING	FLOAT	STRING	FLOAT	STRING	FLOAT	INT
MAX_ID=99999;MAX_RECORD=99999;														
#														
100	146.02	304.37	195.55	半径	-1.57	无	0	无	0	无	0	无	0	-1
101	146	304.37	195.64	半径	-1.57	无	0	无	0	无	0	无	0	-1
102	339.86	170.13	135.83	半径	1	无	0	无	0	无	0	无	0	-1
103	372.64	183.15	183.55	半径	12.5	无	0	无	0	无	0	无	0	-1
104	437.17	174.53	282.16	半径	-0.25	无	0	无	0	无	0	无	0	-1
105	580.99	177.08	274.75	半径	-1.62	无	0	无	0	无	0	无	0	-1
106	581.22	169.43	213.93	半径	10	无	0	无	0	无	0	无	0	-1
107	51.25	299.94	61.64	半径	0.82	无	0	无	0	无	0	无	0	-1
108	64.56	299.82	75.34	半径	-2.53	无	0	无	0	无	0	无	0	-1
109	487.55	179.55	301.96	半径	30	无	0	无	0	无	0	无	0	-1
110	369.3	181.31	180.06	半径	1	无	0	无	0	无	0	无	0	-1
111	489.26	176.88	278.44	半径	1	无	0	无	0	无	0	无	0	-1
112	581.22	170.29	201.74	半径	-1.62	无	0	无	0	无	0	无	0	-1
113	182.2166	282.89	139.3539	半径	15	无	0	无	0	无	0	无	0	-1
114	293.27	156.21	120.2766	半径	25	无	0	无	0	无	0	无	0	-1
115	480.68	176.72	308.45	长度	10	宽度	10	无	0	无	0	无	0	-1
116	491.78	176.72	285.58	长度	10	宽度	10	无	0	无	0	无	0	-1
117	503.11	176.72	318.75	长度	10	宽度	10	无	0	无	0	无	0	-1
118	514.21	176.72	295.88	长度	10	宽度	10	无	0	无	0	无	0	-1
119	145.95	304.4	195.23	半径	5	无	0	无	0	无	0	无	0	-1
120	366.13	181	175.73	半径	1	无	0	无	0	无	0	无	0	-1
121	334.78	166.69	130.54	半径	10	无	0	无	0	无	0	无	0	-1
122	541.24	169.87	313.16	半径	15	无	0	无	0	无	0	无	0	-1
123	173.3	309.01	133.92	朝向	3.9	无	0	无	0	无	0	无	0	-1
124	50.2	304.98	201.3	朝向	3.14	无	0	无	0	无	0	无	0	-1
125	48.5	304.07	186.43	朝向	1.57	无	0	无	0	无	0	无	0	-1
126	293	303.43	208.6	无	0	无	0	无	0	无	0	无	0	-1
130	72.55	308.9793	194.5	半径	10	无	0	无	0	无	0	无	0	-1
131	112.77	317.9981	212.33	半径	20	无	0	无	0	无	0	无	0	-1
132	149.8153	318	202.0681	半径	1.69	无	0	无	0	无	0	无	0	-1
133	161.34	299.1686	217.45	半径	1.69	无	0	无	0	无	0	无	0	-1
134	163.57	299.42	217.09	半径	25	无	0	无	0	无	0	无	0	-1
135	47.969	198.63	200.87	半径	-1.57	无	0	无	0	无	0	无	0	-1
136	60.05	198.63	203.36	半径	25	无	0	无	0	无	0	无	0	-1
137	157.01	205.23	100.88	半径	-1.57	无	0	无	0	无	0	无	0	-1
138	157.01	205.23	105.86	半径	10	无	0	无	0	无	0	无	0	-1
139	202.49	200.32	32.62	半径	0.2	无	0	无	0	无	0	无	0	-1
140	197.23	200.32	38.775	半径	7	无	0	无	0	无	0	无	0	-1
141	83.4	208.52	203.64	半径	1.69	无	0	无	0	无	0	无	0	-1
142	48.07	198.77	172.76	半径	1.69	无	0	无	0	无	0	无	0	-1
143	157.07	200.43	145.28	半径	1.69	无	0	无	0	无	0	无	0	-1
144	169.9	202.51	39.64	半径	1.69	无	0	无	0	无	0	无	0	-1
145	48.12	198.65	156.74	半径	6	无	0	无	0	无	0	无	0	-1
146	308.55	315.49	13.57	半径	5	无	0	无	0	无	0	无	0	-1
147	296.13	315.22	38.39	半径	5	无	0	无	0	无	0	无	0	-1
148	275.64	315	77.64	半径	5	无	0	无	0	无	0	无	0	-1
149	234.71	314.65	136.74	半径	5	无	0	无	0	无	0	无	0	-1
150	232.02	307	72	朝向	-3.14	无	0	无	0	无	0	无	0	-1
151	299.2	315	50.7	半径	5	无	0	无	0	无	0	无	0	-1
152	290.95	315	41.99	半径	5	无	0	无	0	无	0	无	0	-1
153	293.1	315	55.4	半径	5	无	0	无	0	无	0	无	0	-1
154	280.1	315	60.9	半径	5	无	0	无	0	无	0	无	0	-1
155	281.89	315	71.32	半径	5	无	0	无	0	无	0	无	0	-1
156	270.68	315	77.9	半径	5	无	0	无	0	无	0	无	0	-1
