Id	DESC	TeleportName	SrcSceneID	SrcPosX	SrcPosY	SrcPosZ	DstSceneID	IsShow
INT	STRING	STRING	INT	FLOAT	FLOAT	FLOAT	INT	INT
MAX_ID=1000;MAX_RECORD=1000;								
#								
1	秦墓地宫1层-2层	2层入口	47	128.4	239	151.41	48	1
2	秦墓地宫2层-1层	1层入口	48	110.15	254.32	50.36	47	1
3	秦墓地宫2层-3层	3层入口	48	128.4	239	151.41	49	1
4	秦墓地宫3层-2层	2层入口	49	110.15	254.32	50.36	48	1
5	秦墓地宫3层-4层	4层入口	49	128.4	239	151.41	50	1
6	秦墓地宫4层-3层	3层入口	50	16.81	252.88	51	49	1
7	秦墓地宫4层-5层	5层入口	50	128.4	239	151.41	51	1
8	秦墓地宫5层-4层	4层入口	51	16.81	252.88	51	50	1
9	秦墓地宫5层-6层	6层入口	51	128.4	239	151.41	52	1
10	秦墓地宫6层-5层	5层入口	52	16.81	252.88	51	51	1
11	秦墓地宫6层-7层	7层入口	52	128.4	239	151.41	53	1
12	秦墓地宫7层-6层	6层入口	53	7.52	254.32	51.18	52	1
13	秦墓地宫7层-8层	8层入口	53	128.4	239	151.41	54	1
14	秦墓地宫8层-7层	7层入口	54	7.52	254.32	51.18	53	1
16	雁门通往洛阳	洛阳	37	126.0722	288.05	37.75453	9	1
17	洛阳通往雁门	雁门	9	316.365	310.01	178.009	37	1
18	洛阳通往嵩山	嵩山	9	198.8088	309	8.2	39	0
19	洛阳通往姑苏	太湖	9	254.26	309.15	216.87	12	1
20	嵩山通往洛阳	洛阳	39	204.001	307.97	387.0226	9	0
21	姑苏通往洛阳	洛阳	12	339.2526	299.96	303.1044	9	1
22	姑苏通往无锡	无锡	12	125.8	299.93	218.16	13	1
23	无锡通往姑苏	太湖	13	334.72	299.15	239.54	12	1
24	洛阳通往兴庆府	兴庆府	9	82.79	310	178.25	21	1
25	兴庆府通往洛阳	洛阳	21	225.2174	291.1558	31.89423	9	1
26	秦墓地宫1层-秦墓地宫接引	秦墓地宫出口	47	109.93	254.32	51.14	9	1
27	大理通往无量山	无量山	5	257.3326	301	377.7231	7	0
28	大理通往万劫谷	万劫谷	5	187.84	308.958	0.98	6	0
29	大理通往嵩山	嵩山	5	395.78	310.86	154.88	39	1
30	嵩山通往大理	大理	39	161.19	309.78	64.5979	5	1
31	无量山通往大理	大理	7	250.0139	300.9	1.285142	5	0
32	万劫谷通往大理	大理	6	189.2493	309	398.8651	5	0
33	姑苏小镇到琴韵小筑	无名码头	12	267.98	300.66	211.27	12	0
34	琴韵小筑到姑苏小镇	琴韵码头	12	299.67	300.33	111.84	12	0
35	琴韵小筑到曼陀山庄	听雨居码头	12	271.01	300.32	47.18	12	0
36	曼陀山庄到琴韵小筑	曼陀码头	12	227.17	301.17	72.06	12	0
37	曼陀山庄到听香水榭	曼陀后院码头	12	68.353	302.081	61.217	12	0
38	听香水榭到曼陀山庄	听香水榭码头	12	132.33	300.62	200.38	12	0
39	听香水榭到姑苏小镇	听香水榭码头	12	126.03	300.62	218.99	12	0
40	姑苏小镇到听香水榭	太湖岸边	12	186.08	300.19	266.79	12	0
41	听香水榭到小镜湖	 水榭岸边	12	100.95	301.274	254.81	12	0
42	小镜湖到听香水榭	小镜湖畔	12	86.79	299.76	329.83	12	0
43	小镜湖到姑苏小镇	小镜湖后院	12	171.117	301.442	367.607	12	0
44	姑苏小镇到小镜湖	酒楼走廊	12	217.53	302.17	365.51	12	0
45	姑苏通往燕子坞	燕子坞	12	345.9758	301.0494	27.35249	36	1
46	燕子坞通往姑苏	太湖	36	143.344	349.965	158.18	12	1
47	秦墓地宫9层-8层	8层入口	55	7.52	254.32	51.18	54	1
52	嵩山通往藏经阁	藏经阁	39	179.0852	309.16	30.16835	11	0
53	藏经阁通往嵩山	嵩山	11	180.78	299.12	221.49	39	0
54	辽西草原通往雁门	雁门	10	179.38	304.59	11.09	37	0
55	雁门通往辽西草原	辽西草原	37	181.0655	300.01	391.3232	10	0
56	兴庆府通往沙漠	敦煌大漠	21	14.01593	296.9802	210.2451	15	0
57	沙漠通往兴庆府	兴庆府	15	363.4425	299.7999	229.4239	21	0
58	沙漠通往天山	天山	15	222.6366	303.31	346.4852	38	0
59	天山通往沙漠	敦煌大漠	38	236.1616	319.2691	64.28758	15	0
62	无量山通往大理	大理	7	306.7843	298	16.8843	5	0
63	大理通往无量山	无量山	5	317.132	298	345.8532	7	0
64	镜湖通往太湖	太湖	43	362.516	299.32	251.8626	12	1
65	太湖通往镜湖	镜湖	12	87.45088	299.32	331.2129	43	1
66	镜湖通往嵩山	嵩山	43	24.3284	301.02	382.7537	39	1
67	嵩山通往镜湖	镜湖	39	194.0832	309.62	112.1345	43	1
70	北荒1区通往北荒4区	北荒4区	850	374.75	8.37	180	853	1
71	北荒2区通往北荒5区	北荒5区	851	374.75	8.37	180	854	1
72	北荒3区通往北荒6区	北荒6区	852	374.75	8.37	180	855	1
73	西荒22区通往西荒23区	西荒23区	895	374.75	8.37	180	896	1
74	西荒19区通往西荒20区	西荒20区	892	374.75	8.37	180	893	1
75	西荒16区通往西荒17区	西荒17区	889	374.75	8.37	180	890	1
76	西荒13区通往西荒14区	西荒14区	886	374.75	8.37	180	887	1
77	西荒10区通往西荒11区	西荒11区	883	374.75	8.37	180	884	1
78	西荒7区通往西荒8区	西荒8区	880	374.75	8.37	180	881	1
79	西荒4区通往西荒5区	西荒5区	877	374.75	8.37	180	878	1
80	西荒1区通往西荒2区	西荒2区	874	374.75	8.37	180	875	1
81	北荒4区通往北荒7区	北荒7区	853	374.75	8.37	180	856	1
82	北荒5区通往北荒8区	北荒8区	854	374.75	8.37	180	857	1
83	北荒6区通往北荒9区	北荒9区	855	374.75	8.37	180	858	1
84	西荒23区通往西荒24区	西荒24区	896	374.75	8.37	180	897	1
